CanvasID,Started_At,Ended_At,Selected_Time_Zone,WorkFlow_State,Enrollments,Courses,Users,Sections
7888,2018-02-12T23:00:16-06:00,2018-02-12T23:06:19-06:00,America/Chicago,imported,1,2134,6729,2134
7887,2018-02-12T22:00:07-06:00,2018-02-12T22:05:24-06:00,America/Chicago,imported,0,2134,6729,2134
7887,2018-02-12T22:00:07-06:00,2018-02-12T22:05:24-06:00,America/Chicago,imported,0,2134,6729,2134
7886,2018-02-12T21:00:07-06:00,2018-02-12T21:05:34-06:00,America/Chicago,imported,0,2134,6729,2134
7886,2018-02-12T21:00:07-06:00,2018-02-12T21:05:34-06:00,America/Chicago,imported,0,2134,6729,2134
7885,2018-02-12T20:00:08-06:00,2018-02-12T20:06:22-06:00,America/Chicago,imported,0,2134,6729,2134
7885,2018-02-12T20:00:08-06:00,2018-02-12T20:06:22-06:00,America/Chicago,imported,0,2134,6729,2134
7884,2018-02-12T19:00:07-06:00,2018-02-12T19:06:08-06:00,America/Chicago,imported,2,2134,6729,2134
7884,2018-02-12T19:00:07-06:00,2018-02-12T19:06:08-06:00,America/Chicago,imported,2,2134,6729,2134
7883,2018-02-12T18:00:07-06:00,2018-02-12T18:06:27-06:00,America/Chicago,imported,1,2134,6729,2134
7883,2018-02-12T18:00:07-06:00,2018-02-12T18:06:27-06:00,America/Chicago,imported,1,2134,6729,2134
7882,2018-02-12T17:00:09-06:00,2018-02-12T17:06:48-06:00,America/Chicago,imported,1,2134,6729,2134
7882,2018-02-12T17:00:09-06:00,2018-02-12T17:06:48-06:00,America/Chicago,imported,1,2134,6729,2134
7881,2018-02-12T16:00:08-06:00,2018-02-12T16:05:56-06:00,America/Chicago,imported,2,2134,6729,2134
7881,2018-02-12T16:00:08-06:00,2018-02-12T16:05:56-06:00,America/Chicago,imported,2,2134,6729,2134
7880,2018-02-12T15:00:07-06:00,2018-02-12T15:06:07-06:00,America/Chicago,imported,2,2134,6729,2134
7880,2018-02-12T15:00:07-06:00,2018-02-12T15:06:07-06:00,America/Chicago,imported,2,2134,6729,2134
7879,2018-02-12T14:00:08-06:00,2018-02-12T14:05:59-06:00,America/Chicago,imported,8,2134,6729,2134
7879,2018-02-12T14:00:08-06:00,2018-02-12T14:05:59-06:00,America/Chicago,imported,8,2134,6729,2134
7878,2018-02-12T13:00:08-06:00,2018-02-12T13:06:51-06:00,America/Chicago,imported,0,2134,6730,2134
7878,2018-02-12T13:00:08-06:00,2018-02-12T13:06:51-06:00,America/Chicago,imported,0,2134,6730,2134
7877,2018-02-12T12:00:07-06:00,2018-02-12T12:06:37-06:00,America/Chicago,imported,3,2134,6730,2134
7877,2018-02-12T12:00:07-06:00,2018-02-12T12:06:37-06:00,America/Chicago,imported,3,2134,6730,2134
7876,2018-02-12T11:00:07-06:00,2018-02-12T11:06:52-06:00,America/Chicago,imported,11,2134,6730,2134
7876,2018-02-12T11:00:07-06:00,2018-02-12T11:06:52-06:00,America/Chicago,imported,11,2134,6730,2134
7875,2018-02-12T10:00:06-06:00,2018-02-12T10:06:52-06:00,America/Chicago,imported,9,2134,6730,2134
7875,2018-02-12T10:00:06-06:00,2018-02-12T10:06:52-06:00,America/Chicago,imported,9,2134,6730,2134
7874,2018-02-12T09:00:07-06:00,2018-02-12T09:06:30-06:00,America/Chicago,imported,2,2134,6727,2134
